ticker,type,date,ccl_rate,ars_price,qty
META,BUY,1/12/2025,1517.50,40560.00,3
MELI,BUY,1/12/2025,1517.50,26320.00,4
META,BUY,2/12/2025,1522.00,40500.00,3
MELI,BUY,3/12/2025,1510.40,26560.00,4
MELI,BUY,4/12/2025,1512.40,26680.00,4
MELI,BUY,4/12/2025,1512.40,26320.00,6
MELI,BUY,5/12/2025,1508.90,26340.00,5
MELI,BUY,5/12/2025,1508.90,25980.00,8
META,BUY,13/1/2026,1527.80,39960.00,4
META,BUY,14/1/2026,1522.90,39460.00,2
MELI,BUY,6/2/2026,1489.20,25780.00,2
AMZN,BUY,6/2/2026,1489.20,2114.00,85
AMZN,SELL,27/2/2026,1462.70,2147.00,20
AMZN,SELL,27/2/2026,1462.70,2150.00,20
META,BUY,9/3/2026,1473.00,39300.00,3
MELI,BUY,9/3/2026,1473.00,21720.00,3
AMZN,BUY,9/3/2026,1473.00,2154.00,4
META,BUY,6/4/2026,1482.60,35840.00,4
MSFT,BUY,9/4/2026,1477.40,18150.00,5
MELI,BUY,17/4/2026,1459.50,22530.00,3
META,BUY,30/4/2026,1494.10,38220.00,4
META,BUY,5/5/2026,1494.10,37680.00,4
MSFT,SELL,5/5/2026,1494.10,20390.00,5
AMZN,SELL,5/5/2026,1494.10,2850.00,49
META,BUY,5/5/2026,1494.10,37680.00,4
NU,BUY,8/5/2026,1483.10,10560.00,10
MELI,BUY,3/6/2026,1515.60,20890.00,7
NU,SELL,10/6/2026,1509.70,9000.00,10
META,BUY,10/6/2026,1509.70,37140.00,2
MELI,BUY,10/6/2026,1509.70,20340.00,8
MELI,SELL,12/6/2026,1495.60,19710.00,4
META,BUY,18/6/2026,1508.90,35800.00,3
MELI,BUY,18/6/2026,1508.90,20600.00,2
